,title,desc,url
0,1875,"1875 (ты́сяча восемьсо́т се́мьдесят пя́тый) год  по григорианскому календарю — невисокосный год, начинающийся в пятницу. Это 1875 год нашей эры, 5 год 8-го десятилетия XIX века 2-го тысячелетия, 6 год 1870-х годов. Он закончился 148 лет назад.",https://ru.wikipedia.org/wiki/1875_%D0%B3%D0%BE%D0%B4
1,ANSI,"Америка́нский национа́льный институ́т станда́ртов (англ. American national standards institute, ANSI) — объединение американских промышленных и деловых групп, разрабатывающее торговые и коммуникационные стандарты. Входит в организации ISO и IEC, представляя там интересы США.",https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%BD%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%81%D1%82%D0%B0%D0%BD%D0%B4%D0%B0%D1%80%D1%82%D0%BE%D0%B2
2,ARINC,"Корпорация «Авиационное радио» (англ. Aeronautical Radio, Incorporated, ARINC) — компания, основанная в 1929 году, один из мировых лидеров в разработке систем коммуникаций и системных исследований по пяти направлениям — авиация, аэропорты, оборона, государство и перевозка грузов. Штаб-квартира в Аннаполисе (штат Мэрилэнд, США). 2 крупных филиала в Лондоне с 1999 и Сингапуре с 2003. Штат компании — 3800 человек на более чем 80 заводах по всему миру.",https://ru.wikipedia.org/wiki/ARINC
3,ASTM,"ASTM International (Американское общество по испытанию материалов, англ. American Society for Testing and Materials) — международная организация, разрабатывающая и издающая добровольные стандарты для материалов, продуктов, систем и услуг.
Основана в 1898 году в США в виде Американской секции Международной ассоциации проверки материалов (International Association for Testing Materials) и первоначально занималась стандартами контроля качества материалов для железных дорог.
ASTM поддерживает около 12 000 стандартов. ASTM Standards состоят из 80 томов.
Членство в организации открыто для любого, кто заинтересован в её работе. Членами являются более 32 тысяч представителей от производителей, пользователей, непосредственных потребителей, правительств и академий более 100 стран мира.
Стандарты проверяются и переиздаются не реже, чем раз в пять лет.
Более 5 000 стандартов ASTM приняты за пределами США в качестве национальных, и более 60 стран используют стандарты ASTM в качестве основы для создания своих нормативных баз.",https://ru.wikipedia.org/wiki/ASTM_International
4,CCSDS,"Consultative Committee for Space Data Systems (CCSDS, Международный Консультативный Комитет по космическим системам передачи данных) — международный комитет, образованный в 1982 году. В настоящее время объединяет 11 космических агентств, 28 агентств-наблюдателей и более 140 индустриальных групп. Комитет занимается разработкой стандартов и рекомендаций для космических информационных систем.
Целями комитета являются: развитие возможностей взаимодействия между различными космическими агентствами и уменьшение стоимости разработок космических проектов.",https://ru.wikipedia.org/wiki/CCSDS
5,DIN,"Немецкий институт по стандартизации (нем. Deutsches Institut für Normung e.V. сокр. DIN) — национальная организация Германии по разработке стандартов. Членами DIN являются различные предприятия, союзы, государственные организации, торговые фирмы и научные институты, которые накопили значительный опыт в разработках нормативных документов.",https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%BC%D0%B5%D1%86%D0%BA%D0%B8%D0%B9_%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BF%D0%BE_%D1%81%D1%82%D0%B0%D0%BD%D0%B4%D0%B0%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8
6,Electronic Industries Alliance,"EIA (англ. Electronic Industries Alliance) — Альянс отраслей электронной промышленности. Расположенная в США профессиональная организация, разрабатывающая электрические и функциональные стандарты с идентификатором RS (Recommended Standards).
До октября 1997 г. называлась Electronic Industries Association.",https://ru.wikipedia.org/wiki/Electronic_Industries_Alliance
7,HTML,"HTML  (от англ. HyperText Markup Language — «язык гипертекстовой разметки») — стандартизированный язык гипертекстовой разметки документов для просмотра веб-страниц в браузере. Веб-браузеры получают HTML документ от сервера по протоколам HTTP/HTTPS или открывают с локального диска, далее интерпретируют код в интерфейс, который будет отображаться на экране монитора.
Элементы HTML являются строительными блоками HTML страниц. С помощью HTML разные конструкции, изображения и другие объекты, такие как интерактивная веб-форма, могут быть встроены в отображаемую страницу. HTML предоставляет средства для создания заголовков, абзацев, списков, ссылок, цитат и других элементов. Элементы HTML выделяются тегами, записанными с использованием угловых скобок. Такие теги, как <img /> и <input />, напрямую вводят контент на страницу. Другие теги, такие как <p>, окружают и оформляют текст внутри себя и могут включать другие теги в качестве подэлементов. Браузеры не отображают HTML-теги, но используют их для интерпретации содержимого страницы.
Язык XHTML является более строгим вариантом HTML, он следует синтаксису XML и является приложением языка XML в области разметки гипертекста.
В HTML можно встроить программный код на языке программирования JavaScript, для управления поведением и содержанием веб-страниц. Также включение CSS в HTML описывает внешний вид и макет страницы.",https://ru.wikipedia.org/wiki/HTML
8,HTTP,"HTTP (англ. HyperText Transfer Protocol — «протокол передачи гипертекста») — протокол прикладного уровня передачи данных, изначально — в виде гипертекстовых документов в формате HTML, в настоящее время используется для передачи произвольных данных.",https://ru.wikipedia.org/wiki/HTTP
9,ISO,"Международная организация по стандартизации, ИСО (англ. International Organization for Standardization, ISO; фр. Organisation internationale de normalisation, ISO) — международная организация, занимающаяся выпуском стандартов.
Международная организация по стандартизации создана в 1946 году двадцатью пятью национальными организациями по стандартизации, на основе двух организаций: ISA (International Federation of National Standardizing Associations), учреждённой в Нью-Йорке в 1926 году (расформирована в 1942) и UNSCC (United Nations Standards Coordinating Committee), учреждённой в 1944 году. Фактически её работа началась с 1947 года. СССР был одним из основателей организации, постоянным членом руководящих органов, дважды представитель Госстандарта избирался председателем организации. Россия стала членом ИСО как правопреемник СССР. 23 сентября 2005 года Россия вошла в Совет ИСО.
При создании организации и выборе её названия учитывалась необходимость того, чтобы аббревиатура наименования звучала одинаково на всех языках. Для этого было решено использовать греческое слово ίσος (исос) — равный, вот почему на всех языках мира Международная организация по стандартизации имеет краткое название «ИСО».
Сфера деятельности ИСО касается стандартизации во всех областях, кроме электротехники и электроники, относящихся к компетенции Международной электротехнической комиссии (МЭК, IEC). Некоторые виды работ выполняются совместными усилиями этих организаций. Кроме стандартизации, ИСО занимается проблемами сертификации.
ИСО определяет свои задачи следующим образом: содействие развитию стандартизации и смежных видов деятельности в мире с целью обеспечения международного обмена товарами и услугами, а также развития сотрудничества в интеллектуальной, научно-технической и экономической областях.
Официальными языками являются: английский, французский и русский.",https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F_%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F_%D0%BF%D0%BE_%D1%81%D1%82%D0%B0%D0%BD%D0%B4%D0%B0%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8
